# SOM-PCB etch length (ball -> BTB pin), mil. SHARED by GW5AT-60 & GW5AST-138 (same SOM PCB #30354).
# Source: tang_mega_138k_dock/09_Pinout_Length_table/TANG_138K_60K_PCB_etch_length.csv (Sipeed).
# Parsed only from BANK*_<ball>_IO* nets (DDR3_A* address nets alias real balls under a loose regex).
# Die-invariant: keyed by physical PG484A ball.
ball,som_pcb_len_mil
A13,255.82
A14,254.89
A15,243.84
A16,247.33
A18,248.61
A19,249.63
A20,291.07
A21,297.16
AA18,166.70
AA19,181.12
AA20,174.38
AA21,172.96
AB18,162.35
AB20,182.69
AB21,139.14
AB22,136.06
B13,335.72
B15,315.56
B16,315.54
B17,283.74
B18,285.47
B20,290.71
B21,296.70
B22,330.27
C13,332.04
C14,521.33
C15,522.31
C17,361.19
C18,225.86
C19,225.78
C20,289.66
C22,330.60
D14,278.39
D15,280.49
D16,302.71
D17,360.68
D19,330.27
D20,290.94
D21,194.74
D22,136.87
E13,511.96
E14,512.16
E16,304.63
E17,365.00
E18,630.27
E19,332.30
E21,197.83
E22,137.62
F13,403.77
F14,402.66
F15,363.00
F16,366.27
F18,631.29
F19,261.40
F20,262.29
F21,242.10
G13,478.29
G15,531.09
G16,532.79
G17,699.98
G18,704.47
G20,229.35
G21,304.45
G22,301.40
H13,479.76
H14,640.31
H15,535.21
H17,375.20
H18,377.73
H19,269.64
H20,229.81
H22,325.59
J14,639.05
J15,531.88
J16,575.35
J17,585.65
J19,269.59
J20,392.79
J21,387.95
J22,329.25
K13,768.12
K14,768.06
K16,588.35
K17,589.60
K18,308.29
K19,306.19
K21,307.25
K22,303.99
L13,816.64
L14,612.30
L15,608.90
L16,587.65
L18,309.85
L19,399.94
L20,396.24
L21,300.25
M13,814.37
M15,845.49
M16,849.13
M17,942.17
M18,310.15
M20,255.91
M21,300.77
M22,327.35
N13,711.28
N14,710.68
N15,799.93
N17,913.95
N18,328.84
N19,330.11
N20,255.51
N22,322.83
P14,502.35
P15,521.47
P16,425.92
P17,915.26
P19,381.67
P20,273.82
R14,500.46
R16,522.41
R17,423.69
R18,328.78
R19,383.09
T18,326.56
T20,343.03
T21,303.22
U17,376.46
U18,380.58
U20,728.10
U21,299.86
V17,311.88
V18,387.06
V19,387.47
V20,728.99
W17,309.83
W19,289.66
W20,289.23
W21,481.71
W22,484.96
Y18,242.48
Y19,242.67
Y21,233.15
Y22,230.61
